date;cod_cliente;cliente_nome;alunos_ativos;total_em_recebiveis;total_conta_pagar;total_valor_cartao_credito_maquina;total_valor_cartao_credito_recorrencia
2020/01;1;ACADEMIA CLUB FITNESS CURITIBA;198;25934;1776;3284;3820
2020/01;3;18 PHD SPORTS - AV. MARINGÁ - PINHAIS 3;805;64419;75460;20624;27442
2020/01;4;LIVING FITNESS;256;23233;0;11120;3331
2020/01;5;04 PHD SPORTS - JOÃO NEGRÃO - CENTRO 5;433;44924;31844;2377;15956
2020/01;8;Associação Atlética Banco do Brasil;90;0;0;0;0
2020/01;10;ACADEMIA ONE;910;120121;99816;5333;75221
2020/01;11;UELFIT Academia;130;17738;0;0;0
2020/01;12;MEGA FITNESS;226;22207;0;5955;3341
2020/01;14;ENERGYN ACADEMIA;1288;136214;0;39523;53117
2020/01;15;Power Fit Academia;437;53447;0;170;75
2020/01;18;Academia 4Fitness;185;27485;;9633;2351
2020/01;21;ESPACO ATIVO;226;24025;;6036;0
2020/01;24;10 PHD SPORTS - ALTO DA XV 24;388;50148;;5876;33197
2020/01;27;The Factory Gym;382;66619;;38282;13107
2020/01;42;ACADEMIA FENIX;324;49614;;8450;0
2020/01;47;JF STRONG GYM;378;37051;;4096;0
2020/01;53;INFITINESS ACADEMIA;399;38933;;8795;13506
2020/01;54;HR STUDIO;59;15228;;0;10688
2020/01;58;World Gym;1059;171127;;133281;0
2020/01;59;Academia Oxygym;829;99174;;57316;4994
2020/01;63;ACADEMIA IMPACTO;111;9393;;975;0
2020/01;68;Ace Fit Club;415;36978;;11587;0
2020/01;78;ASSOCIACAO BUJIN DO KAN DE KARATE;0;0;;;
2020/01;79;CT MOVE TREINAMENTO FUNCIONAL;88;14370;;3625;6418
2020/01;81;BE BOLD HARDTRAINING;67;9949;;3969;1107
2020/01;82;CENTRO DE KRAV MAGA DO PARANA;165;34724;;2222;17013
2020/01;89;CrossFit SANJA;154;24744;;904;14857
2020/01;91;STRIKER'S HOUSE;264;21967;;1188;0
2020/01;93;AQUAFLEX ACADEMIA;830;83717;;36609;2292
2020/01;98;BRAVUS CLUB;267;52693;;5806;38487
2020/01;105;DMIX FITNESS 1;256;15445;;2563;850
2020/01;107;CENA;447;81845;;56330;0
2020/01;110;FIT COMPANY;1647;141913;;78381;0
2020/01;111;FIELD FITNESS;497;46432;;25128;2847
2020/01;112;CWB Defense;116;20169;;2087;13839
2020/01;119;FISIOMASTER JARDIM;475;166636;;72467;1636
2020/01;124;Galpão 898;75;16554;;6169;0
2020/01;125;SPACE GYM BACACHERI;789;76337;;54628;3591
2020/01;128;THE KING GYM;329;28598;;5749;7430
2020/01;129;LIFE TEAM;197;14978;;4811;139
2020/01;133;NARA GUEDES BRANDAO - ME;70;17040;;0;0
2020/01;134;ACADEMIA UP BY GURIK;339;27528;;9889;1652
2020/01;153;Fisiomaster Praia;420;98984;;40607;7287
2020/01;161;Esporte Clube XV de Novembro de Jaú;105;9100;;0;0
2020/01;163;CIA DO CORPO ACADEMIA;189;20650;;0;0
2020/01;166;Hama Pilates Sede;164;50239;;0;0
2020/01;171;Bio Aventura;350;39523;;9255;6923
2020/01;176;Torga Squash Fit;247;41170;;0;0
2020/01;177;Natural Done;88;20087;;0;12491
2020/01;179;CROSSFIT PORTAO;156;28222;;16603;8400
2020/01;181;06 PHD SPORTS - FILIPINAS - CAJURU 181;379;33573;;2610;19250
2020/01;190;Wah Lum Kung Fu Brasil;12;3766;;590;0
2020/01;200;Escola HidrosFera - Natação e Hidroginástica;732;100369;;0;0
2020/01;202;CF GALÁTICOS;50;10180;;7537;837
2020/01;204;Academia Thai Brasil;859;87273;;66857;5201
2020/01;221;SIMIONI TEAM;133;11501;;1488;0
2020/01;226;Academia Fênix;166;15778;;638;0
2020/01;227;BLACK BELT MMA SCHOOL;212;25293;;10858;525
2020/01;230;Xperience Sports Center;87;10094;;465;7246
2020/01;233;Academia Corpus;308;21497;;6485;55
2020/01;239;ZANELLA FITNESS;857;62188;;29385;0
2020/01;261;PARREIRAS SPORTS e COMMUNITY FIT;168;11374;;4360;0
2020/01;264;Training Tech Fitness Center;245;73056;;26671;11700
2020/01;266;SPORT COMPANY NATAÇÃO E GINASTICA S/C LTDA;164;17073;;2810;0
2020/01;269;GALLE PERSONAL STUDIO;23;5212;;0;0
2020/01;280;Academia Vip Fit;411;39126;;2894;18540
2020/01;290;CLÍNICA SENIOR GYM;106;28148;;23202;0
2020/01;297;Academia Workout Fit;164;15337;;1930;0
2020/01;299;Academia Movimentacao;1756;197593;;9546;127200
2020/01;300;Cross Roncador;179;30953;;7506;6798
2020/01;301;Academia Physical Life;402;33359;;7657;3659
2020/01;304;MUSCLE PLUS ACADEMIA;170;18941;;5067;0
2020/01;309;ACADEMIA LB ESPORTES;407;52499;;18761;895
2020/01;311;TopFlex Academia;192;13119;;1658;1929
2020/01;312;CHINA TEAM;59;7881;;347;1889
2020/01;313;Conquiste Saúde;494;50028;;392;32875
2020/01;323;Academia VIVA+;448;36380;;18556;163
2020/01;327;OMNI ACADEMIA;219;25546;;6339;14455
2020/01;329;IMPERIO FITNESS;105;7015;;213;0
2020/01;338;Academia Mbrasil;781;69577;;26040;1795
2020/01;341;StrongerFit;483;52380;;0;0
2020/01;342;ACADEMIA SHAPE;310;27228;;1906;16000
2020/01;349;BODY ONE FIT;336;36686;;5657;7723
2020/01;361;Cia da Forma;574;58994;;18305;5673
2020/01;373;UNDER PRESSURE;181;19289;;3704;2780
2020/01;378;Espaço Mov;32;22172;;0;0
2020/01;379;ACADEMIA CORPORYUM;545;40538;;7961;22008
2020/01;388;Academia Sparta fit;29;4189;;1898;0
2020/01;412;FIT COMPANY (FILIAL);783;64282;;35969;2885
2020/01;416;Bona Crossfit;275;46330;;2724;12425
2020/01;418;NATSU ACADEMIA;468;59183;;8018;0
2020/01;426;Greenfit Academia;291;23572;;2524;4929
2020/01;428;Via Água Club;345;74706;;13177;0
2020/01;431;Elton Marinato Studio Funcional;52;9026;;0;0
2020/01;432;PER4MANCE ACADEMIA;263;30218;;3872;0
2020/01;435;FORCE FITNESS;274;26395;;3232;0
2020/01;436;07 PHD SPORTS - PEDRO IVO - CENTRO 436;331;27650;;3088;12587
2020/01;439;Battlefield Gym;49;7265;;2969;2063
2020/01;447;CrossFit Lion's Fire;133;26155;;8934;10807
2020/01;450;Vitae Academia;310;24087;;7202;0
2020/01;451;Crossfit V6;245;55908;;35021;0
2020/01;452;EFFICIENCY GYM;403;41349;;10592;0
2020/01;453;09 PHD SPORTS - GUABIROTUBA 453;516;53655;;1870;44342
2020/01;454;UPLAY FITNESS - GUARAPUAVA;1424;119673;;76640;777
2020/01;458;FIVE ONE FITNESS;380;48865;;21632;8427
2020/01;463;Alliance Lago Norte;28;7323;;3804;0
2020/01;466;OnLife Funcional Fitness Clube;289;46771;;1402;9039
2020/01;467;ESPAÇO ATIVO PILATES;39;10963;;1813;3762
2020/01;472;XTREME FIGHT & FITNESS;223;20842;;5317;0
2020/01;473;DASFIT TREINAMENTO FUNCIONAL;99;26880;;7819;6052
2020/01;474;INSANIT GYM;70;10047;;4313;1267
2020/01;480;FLAME POLE STUDIO;39;11470;;0;0
2020/01;481;UPLAY FITNESS - PINHAIS;861;86434;;38064;2872
2020/01;495;19 PHD SPORTS - LEOPOLDO JACOMEL - PINHAIS 495;736;75275;;10255;35516
2020/01;497;EAGLES CROSS TRAINING;114;13347;;5200;0
2020/01;499;Ecolife Saude;51;26205;;12741;1475
2020/01;503;Flow Inn Estudio;3;3150;;0;0
2020/01;541;FIT PREMIUM - MERCES;386;62949;;36593;17438
2020/01;543;ACADEMIA GIGAFIT;287;31356;;8783;0
2020/01;546;Cl Fitness;27;19153;;0;0
2020/01;549;Academia Via Mulher;108;8265;;2480;610
2020/01;591;Academia Max Sports;199;14392;;218;0
2020/01;622;WM FItness;973;90199;;34481;35627
2020/01;631;CROSS EXTRA HARD;154;22712;;0;0
2020/01;640;ACADEMIA CGE;485;39871;;4728;0
2020/01;671;Una Studio;21;9371;;0;8293
2020/01;677;Crossfit Kerberos;91;22606;;12876;0
2020/01;678;Studio Personality;30;9723;;0;3823
2020/01;682;Graciosa Country Club;544;0;;0;0
2020/01;704;WM HEALTH;288;33894;;19226;5382
2020/01;728;F2 Academia;111;22863;;3575;0
2020/01;732;Joy - Treinamento Funcional e Pilates;37;5890;;0;0
2020/01;786;Moove Treinamento Funcional;37;7193;;1863;2637
2020/01;790;Academia Body Fit - Unidade 1;337;41567;;17859;1059
2020/01;803;KOMANDOS BRASILFIT;92;7005;;0;3533
2020/01;818;UP! Fitness;369;31417;;5079;0
2020/01;820;RH PRO STUDIO;146;28528;;0;7625
2020/01;826;Studio Chronos Panamby;54;23775;;13138;0
2020/01;833;Crossfit Silver Lake;60;12676;;0;0
2020/01;858;IMA;44;5538;;0;1924
2020/01;860;STRONGER CROSS;52;7642;;363;4092
2020/01;861;ESCOLINHA DE FUTEBOL AMÉRICA;100;9765;;6067;890
2020/01;866;EQUILIBRIUM SPRADA;714;50139;;3426;21051
2020/01;875;Cerrado Crossfit;53;14391;;0;0
2020/01;893;Fênix Centro de Treinamento;39;6906;;1172;0
2020/01;902;03 PHD SPORTS - SANTA QUITÉRIA 902;621;53024;;1641;35383
2020/01;907;WS NATAÇÃO;596;99418;;37946;0
2020/01;910;Vstrong;136;27870;;1996;15575
2020/01;917;Forseti Centro de Treinamento;235;25101;;1712;4316
2020/01;940;02 PHD SPORTS - REBOUÇAS 940;756;69482;;7025;41800
2020/01;945;01 PHD SPORTS - BACACHERI 945;373;29374;;3330;19638
2020/01;947;Clínica do Movimento;47;11865;;0;0
2020/01;952;Academia S5;333;25314;;0;3883
2020/01;971;MB ASSESSORIA ESPORTIVA;35;4879;;0;0
2020/01;973;CrossFit City Wolves;211;40699;;22127;0
2020/01;977;M1 FITNESS CENTER;259;50296;;1940;24513
2020/01;981;TOPLIFE ACADEMIA;191;17175;;7133;0
2020/01;997;Nobre Arte Academia de Boxe;157;28553;;11381;0
2020/01;1015;Academia Fitness Plus;365;36492;;1327;27233
2020/01;1017;EQUILIBRIUM FERRARIA;506;39240;;536;21401
2020/01;1033;CrossFit Vingadores;167;22245;;0;8560
2020/01;1049;CF Piumhi;150;38792;;0;0
2020/01;1057;ACADEMIA SMART FIT;295;26681;;5568;0
2020/01;1075;Black Box Training;83;17431;;291;10281
2020/01;1086;CROSSFIT HARDBREAK;134;34567;;8350;12172
2020/01;1100;ARENA ONE ACADEMIA;337;36208;;6325;7326
2020/01;1118;PROFIT STUDIO;152;50042;;9979;0
2020/01;1123;Academia Oxy Place;894;109199;;45130;37781
2020/01;1146;Break Limits;55;17740;;1962;4071
2020/01;1151;Corpo funcional cross;67;7874;;4749;0
2020/01;1152;HIIT FITNESS;153;9225;;842;232
2020/01;1163;K2 Itacorubi;74;21444;;0;2386
2020/01;1177;Tribo Fitness Chácara;51;14032;;5180;897
2020/01;1182;Eik? Artes Marciais;157;25387;;6884;0
2020/01;1190;Academia Quality Body;356;31498;;18436;0
2020/01;1191;CROSSFIT FIRE HAWKS;53;18091;;1810;12437
2020/01;1219;studio fitness monise glatzl;46;25584;;12680;0
2020/01;1228;Viva Pilates SP;17;5609;;0;0
2020/01;1232;Vibe Cross Training;35;5051;;0;152
2020/01;1246;EVOLUA IÇARA;58;15473;;0;0
2020/01;1250;TRIBO GUARUJÁ;142;21352;;68;15078
2020/01;1254;Focus Academia;590;50650;;1947;36690
2020/01;1272;Santé Treinamento Funcional;166;54414;;0;45780
2020/01;1278;Head Office;288;26295;;3049;0
2020/01;1280;Academia La Santé!;78;17410;;0;0
2020/01;1284;Tribo Fitness Mesquita;163;26809;;2925;14416
2020/01;1291;Elite Cross;73;12339;;1914;0
2020/01;1300;Clínica Fitness D2;104;34275;;0;7506
2020/01;1301;Novo Futuro Studio;18;11607;;0;3557
2020/01;1305;MOV CLUBE FITNESS;67;9490;;4934;0
2020/01;1308;TIA ILKA - ALPHAVILLE;230;49563;;26729;0
2020/01;1310;PRIX;786;73492;;6790;26606
2020/01;1318;Evolua Morro da Fumaça;47;8847;;0;0
2020/01;1322;Yôga School;123;42661;;10118;0
2020/01;1328;UPLAY FITNESS - AV BRASILIA;671;72540;;27504;35378
2020/01;1334;TIA ILKA - UNIDADE OESTE;392;89675;;44683;0
2020/01;1341;Academia World Fitness;176;24374;;0;4848
2020/01;1344;Movimento A Instituto de Saúde Física e Mental;73;11149;;2479;316
2020/01;1346;MegaRace Centro Fitness;218;35779;;953;9926
2020/01;1353;Hama Pilates Premium;89;37590;;1252;0
2020/01;1361;max training;112;18382;;4976;5740
2020/01;1371;DOMINIO FITNESS;1451;83458;;59058;0
2020/01;1376;H2o Studio - Treinamento funcional e Pilates;108;51522;;23546;0
2020/01;1390;Crossfit Maringá 2;57;10312;;425;5452
2020/01;1392;Shamu Natação;213;32517;;10396;0
2020/01;1400;WA Danças - Unidade Paulista;345;79670;;14663;42186
2020/01;1408;Penduricália Acrobacia Aérea;44;10632;;0;0
2020/01;1435;CROSSTAINER;151;29791;;5066;5824
2020/01;1436;Unidade Glória - RTesser Life Studio;38;18101;;0;0
2020/01;1437;Meu Personal de Bolso;22;1764;;0;0
2020/01;1456;BOX SE7E;83;12117;;0;450
2020/01;1463;JAB L.U.T.A.S.;164;32194;;20918;338
2020/01;1478;Akacia Amarela;26;7070;;0;0
2020/01;1494;Plié Namastê Studio;41;12610;;0;0
2020/01;1512;FORMA FITNESS ACADEMIA;78;3940;;0;0
2020/01;1539;Primal Cross;30;11735;;0;0
2020/01;1570;Steel Giants;163;27304;;13315;5660
2020/01;1571;Armel CrossFit;153;46853;;1889;32522
2020/01;1577;Split Pole Studio;17;7178;;0;0
2020/01;1580;CROSSFIT PARAGUAÇU;76;12355;;0;0
2020/01;1588;Studio Latos Pilates;17;8824;;0;0
2020/01;1599;Tribo - Vale do Sol;150;18242;;0;2078
2020/01;1600;Viva Bem;18;1217;;0;0
2020/01;1601;CT Evox;60;9854;;2810;0
2020/01;1606;Tribo fitness Unidade Curvelo;52;42993;;0;1799
2020/01;1614;Pratique Cross;58;6240;;314;0
2020/01;1618;Academia Body Fit - Unidade 2;575;75077;;33317;0
2020/01;1630;13 PHD SPORTS - VIP - CAJURU 1630;307;30125;;622;17996
2020/01;1633;KOR CROSSFIT 2;55;14564;;0;12957
2020/01;1649;CF SOLDIERS;62;10449;;4039;1907
2020/01;1650;NEOFITNESS;410;90843;;29752;0
2020/01;1664;Soc Emp Alive Studios LTDA;41;7898;;566;4795
2020/01;1684;Instituto Verbalize;62;11025;;840;7390
2020/01;1687;LIFIT TRAINING - A. RATOS;76;12517;;1704;7445
2020/01;1690;Barong Crossfit;95;16027;;4908;3506
2020/01;1705;Flashover Bancários;150;16624;;3038;6311
2020/01;1713;Núcleo 7 Esferas do Tao;99;18820;;510;9066
2020/01;1717;Studio Personal Trainer Mogi - Adão Silva;82;11362;;5434;1563
2020/01;1721;Gym Pilates - Alphaville;88;28795;;0;0
2020/01;1729;CT SEARA - Vôlei de praia;19;3926;;0;0
2020/01;1732;ABS Studio Personalizado;23;7522;;399;0
2020/01;1739;Acqua Fitness;596;78233;;54151;3048
2020/01;1740;Pura Vida Pilates;77;28657;;0;0
2020/01;1752;PROLOGUE Box CrossFit;116;31269;;0;11790
2020/01;1756;Crossfire;147;16059;;9585;99
2020/01;1766;BABY GYM - ACADEMIA PARA BEBÊS;26;6082;;1012;1776
2020/01;1780;Corpilates – Equilíbrio e Saúde;81;29725;;19611;0
2020/01;1790;Alive Natação;78;19975;;1179;0
2020/01;1791;Up Fit Studio Personal Trainer;17;3910;;0;0
2020/01;1794;Clube Náutico Riachuelo;10;7073;;0;235
2020/01;1801;Juninho Tennis;103;52390;;4151;28466
2020/01;1815;CENTRAL FITNESS;427;45598;;4511;11872
2020/01;1825;Vsa fitness;235;21355;;0;0
2020/01;1826;Tribo Fitness São Carlos;16;7963;;0;0
2020/01;1831;Maisstreino;65;14025;;0;9968
2020/01;1833;11 PHD SPORTS - UBERABA 1833;341;34936;;3297;20777
2020/01;1836;HJ Fitness;1116;126095;;32618;38138
2020/01;1888;Osy Fit - Maracana;782;96061;;30940;0
2020/01;1898;Oasis Academia;556;44673;;1372;25184
2020/01;1912;TRIBO FITNESS ANGRA;178;19080;;0;1001
2020/01;1920;Cityvida Capão Bonito;538;46770;;13709;4473
2020/01;1921;Power Training;95;10259;;0;0
2020/01;1927;Boa forma studio personal e treinamento funcional;77;16744;;0;0
2020/01;1934;Cross1Fit;39;10918;;0;6278
2020/01;1936;CFP9 CasaShopping;446;156125;;8328;134663
2020/01;1943;Academia Ramirez;90;13503;;1819;1158
2020/01;1945;MAFIA CF CROSSTRAINING;38;5227;;1870;0
2020/01;1949;BABY GYM;16;6898;;4392;182
2020/01;1951;AKTIVE CENTRO DE SAUDE E BEM ESTAR;250;25150;;0;0
2020/01;1954;EMAGREFIT;43;14563;;0;0
2020/01;1955;KOR CrossFit;164;42892;;0;34639
2020/01;1966;Academia Bio Fitness;922;85202;;28885;559
2020/01;1967;centro de treinamento body & soul;38;13735;;0;8719
2020/01;1990;Tribo fitness unidade Belém;110;15934;;0;1875
2020/01;1991;CT BOLA PRA CIMA;73;4648;;0;0
2020/01;1992;Kahu CrossFit;117;35066;;0;17221
2020/01;1996;Elleven Futebol Studio;111;18955;;5609;6995
2020/01;1998;STUDIO BROOK FIGHTER;63;8883;;4589;0
2020/01;2000;Saúde e fitness;77;14063;;0;0
2020/01;2022;VIVA ACADEMIA DE NATAÇÃO E HIDROGINÁSTICA;101;21299;;5999;0
2020/01;2023;UNIDADE 1 ITAPARK;447;41923;;18264;1588
2020/01;2027;JSJ ESPORTES E ENTRETENIMENTO LTDA;178;28287;;7317;0
2020/01;2028;MOREIRA FIT I;40;6010;;0;0
2020/01;2034;ACADEMIA COLISEO;922;84473;;1887;51950
2020/01;2087;Studio Angelo Molina;60;16805;;0;13463
2020/01;2088;UPEX FIT;611;70389;;41726;0
2020/01;2092;SOU PILATES;44;12192;;0;0
2020/01;2103;2103;0;0;;;
2020/01;2139;Intense Fitness Itabira;115;24827;;2403;602
2020/01;2174;Unit55 CrossFit;162;29731;;85;23269
2020/01;2179;CROSSBOX;107;12025;;0;1406
2020/01;2193;OSY FIT - Guaraituba;494;57892;;21354;0
2020/01;2198;Centro de Treinamento Team Cruz;175;30035;;1234;16198
2020/01;2204;ARENA EKO;108;15509;;415;6942
2020/01;2205;I9 CROSSFIT;91;25081;;1579;9533
2020/01;2216;Estúdio Andréa Schaidt;21;5770;;0;0
2020/01;2224;Bravus centro de treinamento;111;15691;;511;4684
2020/01;2229;Fit House;82;10191;;0;3308
2020/01;2231;Centro de Natação Camboriú;235;34323;;7200;1950
2020/01;2240;Grupo Joyce Fitness;151;39820;;2515;0
2020/01;2265;CFJM;140;26846;;5745;10518
2020/01;2276;ACADEMIA R2;425;47140;;38465;436
2020/01;2303;Studio Funcional 360 Studio;137;13655;;3094;6819
2020/01;2312;Studio Nataraja Flow Yoga;75;40157;;14148;1449
2020/01;2344;Tribo fitness São luis Maranhão;60;7502;;1613;0
2020/01;2360;BIOTRAINING;303;31136;;12859;0
2020/01;2367;Academia Black Bull Fit;329;35516;;11708;12421
2020/01;2387;Vitta Physio;61;11544;;4445;0
2020/01;2389;Arena;71;11379;;6202;0
2020/01;2397;Vessel CrossFit;97;30799;;1859;8302
2020/01;2408;Studio Core - Saúde & Performance;42;11827;;0;3774
2020/01;2419;BODYFIT - Movimente-se!;201;21805;;0;0
2020/01;2433;CROSSFIT ESTIVADORES;179;29958;;18091;0
2020/01;2448;Focus Gym;240;17273;;4250;0
2020/01;2473;EDER PIRES RUN & FITNESS ASSESSORIA;75;8157;;1497;0
2020/01;2490;Crossfit 6450;131;24068;;3198;10170
2020/01;2497;Cross Let's Wod Americana;199;18609;;774;13844
2020/01;2501;Bodytrend;0;6061;;0;0
2020/01;2502;Extremo vigor academia;284;23572;;5028;0
2020/01;2516;ATP ENERGY ACADEMIA;182;18374;;2971;7487
2020/01;2518;Fort Cross;191;32065;;3728;0
2020/01;2522;Academia Vita FIT;127;9339;;240;2154
2020/01;2525;HI Power Fitness Center;235;33549;;3859;0
2020/01;2536;Crossfit 79;133;58865;;10766;31723
2020/01;2543;Tubarão CrossFit;156;27698;;15208;0
2020/01;2544;Crossfit Invictus MG;73;12037;;7489;0
2020/01;2550;RIP HUMAN PERFORMANCE - ÁGUA VERDE;55;8033;;2661;3737
2020/01;2565;STUDIO ÃNANDDA;151;55250;;28883;7275
2020/01;2569;CrossFit Guepardo;206;65800;;30520;20121
2020/01;2572;Academia Vibe;205;12647;;2945;0
2020/01;2577;32 PHD SPORTS - JARDIM DA AMERICAS;394;32722;;2949;15790
2020/01;2601;Musculação Estivadores;210;20300;;9621;1521
2020/01;2609;CrossTx;49;10460;;0;0
2020/01;2610;CROSSFIT LP;118;18542;;4967;0
2020/01;2613;OverFit;482;37635;;5163;9732
2020/01;2624;Crossfit Caçadores;124;39055;;0;0
2020/01;2633;SER ATIVO - STUDIO E ASSESSORIA ESPORTIVA;45;7155;;0;3880
2020/01;2647;26 PHD SPORTS - Boqueirão 2647;261;24261;;4767;427
2020/01;2648;Mangata Crossfit;166;30035;;15071;0
2020/01;2649;Arbo Crossfit;274;63582;;9735;35885
2020/01;2661;Muscle Room;64;11335;;3003;4644
2020/01;2663;Yoga OM;53;23757;;363;6594
2020/01;2671;Eiger Crossfit;67;15565;;1000;10565
2020/01;2679;Pilates OldSchool;26;4931;;0;0
2020/01;2696;Brolex Body Studio;232;42068;;22722;0
2020/01;2698;Academia Force Fit;275;22556;;1658;0
2020/01;2709;ACADEMIA DUQUE DE CAXIAS;1191;0;;0;0
2020/01;2712;Studio Gil Pilates;35;12577;;11045;0
2020/01;2713;CROSSFIT CRISTO REI;87;18218;;15950;0
2020/01;2720;CARDIO FITNESS TREINAMENTO FUNCIONAL;50;9752;;0;0
2020/01;2725;Acqua life baby&kids;217;38305;;2481;24449
2020/01;2738;Personal Diogo Machado;54;4335;;0;0
2020/01;2742;Studio Evolution Fitness;353;50119;;10185;0
2020/01;2747;Condá CrossFit;209;48007;;4530;25490
2020/01;2759;Prime Fit;510;64495;;15440;5734
2020/01;2792;Baby Gym Bento;25;3978;;274;1268
2020/01;2807;cosenza team;35;2914;;654;0
2020/01;2811;Crossfit Beach 787;238;52651;;10834;2310
2020/01;2838;Rizerva Zen;25;7456;;6122;0
2020/01;2843;Reino CrossFit;77;27884;;0;1752
2020/01;2858;Espaço One;0;57369;;12886;0
2020/01;2864;5FTraining;47;10999;;729;6880
2020/01;2870;Fisiform;314;57559;;34261;125
2020/01;2887;Academia Mahatma;1046;114921;;83759;0
2020/01;2890;PRIME SHAPE;448;40591;;8120;0
2020/01;2892;Corpus Cristo Rei;391;35085;;6678;11946
2020/01;2895;ACADEMIA MC SPORTS;1031;169784;;74173;0
2020/01;2898;Happiness Academia em Movimento;507;57087;;19179;17823
2020/01;2899;CF Blackfoxx;81;12456;;2159;4378
2020/01;2922;Crossfit Locomotiva;140;31325;;8418;12764
2020/01;2925;ACADEMIA LIFE FITNESS;289;35536;;1563;6062
2020/01;2932;ACADEMIA SKY BLUE;379;37656;;6696;12860
2020/01;2940;Crossfit High Pulse - Matriz;150;33789;;18740;1255
2020/01;2967;ESTÚDIO PERSONALE;112;45874;;17267;0
2020/01;2972;CROSSFIT SCAR;118;23357;;1798;8067
2020/01;2977;Studio Rafael Alvares metodologia de treinamento fisico;27;8610;;0;0
2020/01;2983;05 PHD SPORTS - PORTÃO 2983;403;42849;;3463;23567
2020/01;2991;STUDIO LABFIT;29;31146;;0;0
2020/01;2996;Crossfit IG;168;41568;;18668;120
2020/01;3008;ESYSP Estudio de Yoga São Paulo;60;20075;;5298;5675
2020/01;3012;King of Kings CrossFit;45;16281;;0;0
2020/01;3014;Infante Crossfit;93;15410;;623;9968
2020/01;3018;Pilates Equipe Atlética;36;10379;;2418;0
2020/01;3020;ESTIVADORES FRG;153;28698;;2235;15201
2020/01;3040;Dynamo 1;931;175618;;83671;44666
2020/01;3043;Go fit Academia;449;47027;;4384;21476
2020/01;3064;UM CrossFit;65;10578;;2782;3022
2020/01;3066;Academia Reset;713;71462;;0;38419
2020/01;3072;Box Cross C3;79;14113;;1800;0
2020/01;3093;MET Treinamento Físico Funcional;56;12817;;6953;0
2020/01;3104;Carpe Diem Studio;3;445;;445;0
2020/01;3107;Milhas Assessoria Esportiva;246;43635;;25035;5253
2020/01;3122;CROSSFIT MARINGA;332;75487;;26504;8479
2020/01;3126;FONTOURA PERSONAL;31;3670;;0;0
2020/01;3147;Crossfit 828;140;33371;;5717;2324
2020/01;3156;Studio Wings pole aerials dance;40;8473;;184;298
2020/01;3181;Champions Box;86;8312;;729;5504
2020/01;3182;Personal Place;748;82205;;25251;18374
2020/01;3185;Crossfit High Pulse - Linha Verde;97;16401;;12348;0
2020/01;3194;Crossfit High Pulse - Maestro;113;24303;;7718;7847
2020/01;3197;Red Dança e Comportamento;58;13762;;1185;5056
2020/01;3203;Eleven Fit;802;67835;;15245;18154
2020/01;3206;CFT OLYMPUS;51;8795;;1795;2234
2020/01;3212;UNIDADE 2 ALMIRANTE;429;36871;;18862;2368
2020/01;3219;ESTUDIO MAIS PILATES;40;13346;;3641;1161
2020/01;3223;Top Fit Saúde e Performance;59;11098;;0;0
2020/01;3224;Touros Fit;52;9021;;78;3220
2020/01;3226;Cross Health Treinamento Especializado;132;36296;;4099;0
2020/01;3229;Hatha Vinyasa Yoga por Camila Reitz;80;20755;;1129;11338
2020/01;3232;P1 Fitness Center;987;107979;;11560;25572
2020/01;3234;CrossFit Congonhas;171;36491;;0;0
2020/01;3239;Marhaba Dança;64;17099;;1683;9529
2020/01;3247;Crossfit High Pulse - Araucária;75;10889;;4801;477
2020/01;3253;Crossfit High Pulse - Alphaville;107;15725;;5330;0
2020/01;3256;Hora Fitness;290;27316;;10070;0
2020/01;3262;Brooklyn Functional GYM;29;7155;;0;4048
2020/01;3284;NAXOS TRAINING;91;14337;;6236;0
2020/01;3288;Brutu´s Cross training;73;8399;;0;0
2020/01;3295;HEAD COACH;312;29396;;1654;0
2020/01;3319;Fisioprev personal;13;23548;;0;459
2020/01;3329;Crossfit Iracema;92;22653;;12182;0
2020/01;3341;Crossfit High Pulse - Guarapuava;182;33236;;6316;13054
2020/01;3345;CrossFit Selvagem;13;4484;;1429;0
2020/01;3358;ASSOCIAÇÃO ATLÉTICA COOPAVEL;90;13379;;0;0
2020/01;3364;Crossfit estrada Real;0;637;;487;0
2020/01;3366;Roma Academia;123;11887;;280;0
2020/01;3372;Crossfit Osasco;117;26675;;0;8208
2020/01;3384;AdarshaYoga;35;18954;;66;6371
2020/01;3391;On Brasilia;32;7217;;5018;0
2020/01;3402;STUDIO TELMA MENEZES Studio 2;99;29767;;1306;0
2020/01;3428;Crossfit High Pulse - Paranaguá;95;14397;;7132;347
2020/01;3435;sparta cross;92;12468;;5097;0
2020/01;3438;CrossFit Friburgo;267;45899;;16131;0
2020/01;3453;INOVE ACADEMIA;241;24072;;1192;0
2020/01;3455;Lucas Silva Personal Trainer e Coach de emagrecimento;16;8760;;0;0
2020/01;3456;CROSSFIT BLACK HOUSE;248;47921;;6818;32303
2020/01;3457;Box Aeroporto - Marília;79;8397;;3101;3776
2020/01;3460;CrossFit RedCore;102;15971;;1505;5915
2020/01;3464;UPLAY FITNESS - MARINGÁ;1126;99695;;6587;71888
2020/01;3470;Gabriel Graciani;55;8088;;0;0
2020/01;3473;Mutação Crossfit;99;20349;;6488;0
2020/01;3482;Taurus Box;137;21322;;4071;7829
2020/01;3487;Crossfute;114;26929;;15822;0
2020/01;3496;STUDIO 1;47;11102;;0;0
